,s,p,o,source,support
8463,management,relate,design,heuristic,1
8464,design,relate,management,heuristic,1
8465,visualization tool,determine,end user application,heuristic,1
8466,visualization tool,determine,browsing aid,heuristic,2
8467,visualization tool,determine,ontologies,heuristic,1
8468,internet,result,service based approach,heuristic,1
8469,service based approach,share,knowledge module,heuristic,1
8470,internet,share,knowledge module,heuristic,1
8471,performance analysi,compare,web search approach,heuristic,3
8472,information retrieval system,search,semantic web technologies,heuristic,2
8473,natural language searching,relate,semantic web technologies,heuristic,1
8474,semantic web technologies,relate,natural language searching,heuristic,1
8475,instruction format,assess,student performance,heuristic,1
8476,scientific information and research data,assess,student performance,heuristic,1
8477,heterogeneity of relevant information,overcome,person centric healthcare system,heuristic,1
8478,heterogeneity of relevant information,overcome,out of hospital instrumentation,heuristic,1
8479,shared and open source interoperability component,drive,semantic web data model,heuristic,3
8480,ontologies,drive,semantic web data model,heuristic,2
8481,person centric healthcare system,share,ontologies,heuristic,2
8482,network,compare,weak signal detection approach,heuristic,1
8483,semantic web technologies,hinge,semantic method,heuristic,2
8484,semantic web technologies,hinge,relational database systems,heuristic,2
8485,animation,relate,object movability,heuristic,1
8486,object movability,relate,animation,heuristic,1
8487,visual features,take,semantical relation,heuristic,1
8488,querying method,take,semantical relation,heuristic,1
8489,multi agent system (mas),relate,semantic web and ai technique,heuristic,1
8490,semantic web and ai technique,relate,multi agent system (mas),heuristic,1
8491,bayesian networks,relate,back propagation neural networks,heuristic,1
8492,back propagation neural networks,relate,bayesian networks,heuristic,1
8493,back propagation neural networks,relate,case-based reasoning (cbr),heuristic,1
8494,case-based reasoning (cbr),relate,back propagation neural networks,heuristic,1
8495,domain knowledge,relate,semantic,heuristic,1
8496,semantic,relate,domain knowledge,heuristic,1
8497,domain knowledge,conduct,ir,heuristic,1
8498,semantic,conduct,information retrieval,heuristic,1
8499,semantic,conduct,ir,heuristic,1
8500,user query,conduct,information extraction,heuristic,1
8501,verification,relate,security,heuristic,1
8502,security,relate,verification,heuristic,1
8503,verification,relate,computational biology,heuristic,1
8504,computational biology,relate,verification,heuristic,1
8505,business rule,relate,semantic web technologies,heuristic,1
8506,semantic web technologies,relate,business rule,heuristic,1
8507,concurrent committed choice constraint logic programming language,guard,multi sets of atomic formula,heuristic,3
8508,general purpose concurrent constraint language,emb,rule based formalism,heuristic,1
8509,non trivial program analysi,relate,transformation,heuristic,1
8510,transformation,relate,non trivial program analysi,heuristic,1
8511,computing,relate,argumentation,heuristic,1
8512,argumentation,relate,computing,heuristic,1
8513,fallacy,arise,equivocation,heuristic,2
8514,fallacy,arise,ambiguity,heuristic,1
8515,argumentation,arise,equivocation,heuristic,3
8516,argumentation,arise,ambiguity,heuristic,2
8517,ambiguity,arise,vaguenes,heuristic,1
8518,user input processing,meet,semantic retrieval task,heuristic,2
8519,information retrieval technology,meet,semantic retrieval task,heuristic,2
8520,inference,relate,ontology query,heuristic,1
8521,ontology query,relate,inference,heuristic,1
8522,user input processing,meet,inference,heuristic,2
8523,user input processing,meet,ontology query,heuristic,2
8524,data model,relate,terminology,heuristic,1
8525,terminology,relate,data model,heuristic,1
8526,ontologies,relate,semantic web resource,heuristic,1
8527,semantic web resource,relate,ontologies,heuristic,1
8528,model,relate,classic technology,heuristic,1
8529,classic technology,relate,model,heuristic,1
8530,relational and object oriented model,emerge,ontologies,heuristic,1
8531,knowledge,miss,open world assumption,heuristic,1
8532,semantic web standard,miss,open world assumption,heuristic,1
8533,rich relational structure,characterize,ontologies,heuristic,1
8534,learning,estimate,probability,heuristic,1
8535,probability,belong,description logic concept,heuristic,2
8536,terminological naive bayesian classifier,estimate,probability,heuristic,1
8537,learning content,pack,sharable content object,heuristic,1
8538,scorm definition,pack,sharable content object,heuristic,1
8539,intuitionistic fuzzy dl,relate,rough dl,heuristic,1
8540,rough dl,relate,intuitionistic fuzzy dl,heuristic,1
8541,concept satisfiability,relate,knowledge base satisfiability,heuristic,1
8542,knowledge base satisfiability,relate,concept satisfiability,heuristic,1
8543,concept satisfiability,relate,subsumption,heuristic,2
8544,subsumption,relate,concept satisfiability,heuristic,2
8545,abox consistency,relate,btcb,heuristic,1
8546,btcb,relate,abox consistency,heuristic,1
8547,ontology theory,relate,semantic web technologies,heuristic,1
8548,semantic web technologies,relate,ontology theory,heuristic,1
8549,first order logic,relate,description logics,heuristic,1
8550,description logics,relate,first order logic,heuristic,1
8551,logic,relate,description logics,heuristic,1
8552,concrete fuzzy concept,relate,fuzzy relation,heuristic,1
8553,fuzzy relation,relate,concrete fuzzy concept,heuristic,1
8554,machine oriented capability,couple,conspicuous at,heuristic,1
8555,user profiling,orient,conspicuous at,heuristic,3
8556,data complexity,capture,heterogeneous source,heuristic,1
8557,ontology method,addres,data complexity,heuristic,1
8558,conjunctive query,deal,existential quantification,heuristic,2
8559,first order logic,deal,existential quantification,heuristic,1
8560,first order logic,deal,database atomic formula,heuristic,1
8561,models discovery capability,monitor,web resource,heuristic,1
8562,software genasi,relate,svod,heuristic,1
8563,svod,relate,software genasi,heuristic,1
8564,cancer domain ontology,relate,pop,heuristic,1
8565,pop,relate,cancer domain ontology,heuristic,1
8566,cancer domain ontology,intend,tatoo framework,heuristic,1
8567,pop,intend,tatoo framework,heuristic,1
8568,automobile repair,relate,financial management,heuristic,1
8569,financial management,relate,automobile repair,heuristic,1
8570,automobile repair,relate,real estate,heuristic,1
8571,real estate,relate,automobile repair,heuristic,1
8572,database systems,ne,domain information,heuristic,2
8573,ontologies,share,domain information,heuristic,3
8574,tool manufacturing,relate,medicine,heuristic,1
8575,medicine,relate,tool manufacturing,heuristic,1
8576,tool manufacturing,relate,real estate,heuristic,1
8577,real estate,relate,tool manufacturing,heuristic,1
8578,model,accord,domain-specific ontologies,heuristic,2
8579,meta data,accord,domain-specific ontologies,heuristic,2
8580,learner pattern management,relate,modeling vision,heuristic,1
8581,modeling vision,relate,learner pattern management,heuristic,1
8582,semantic modeling,say,ontologies,heuristic,3
8583,social networks,relate,systems biology,heuristic,1
8584,systems biology,relate,social networks,heuristic,1
8585,holistic effect,understand,macro structure,heuristic,5
8586,holistic effect,relate,social sciences,heuristic,1
8587,social sciences,relate,holistic effect,heuristic,1
8588,molecular biology,relate,linguistic,heuristic,1
8589,linguistic,relate,molecular biology,heuristic,1
8590,theoretical framework,relate,operational computing implementation,heuristic,1
8591,operational computing implementation,relate,theoretical framework,heuristic,1
8592,clustering algorithms,prove,case study,heuristic,1
8593,electronic patient summary,guarantee,pervasive,heuristic,2
8594,pervasive,ensure,service delivery,heuristic,2
8595,stringent interoperability,arise,ehealth setting,heuristic,1
8596,middleware technology,cope,stringent interoperability,heuristic,2
8597,stringent interoperability,relate,multi lingualism,heuristic,1
8598,multi lingualism,relate,stringent interoperability,heuristic,1
8599,middleware technology,arise,ehealth setting,heuristic,3
8600,multi lingualism,arise,ehealth setting,heuristic,1
8601,privacy requirement,arise,ehealth setting,heuristic,1
8602,middleware technology,cope,multi lingualism,heuristic,2
8603,middleware technology,cope,privacy requirement,heuristic,2
8604,european patient summary,coordinate,patient summary,heuristic,2
8605,triplespace computing,demonstrate,european patient summary,heuristic,1
8606,semantic web technologies,demonstrate,european patient summary,heuristic,1
8607,coordination middleware,demonstrate,european patient summary,heuristic,1
8608,web,exist,knowledge representation formalism,heuristic,1
8609,web,exist,web technology,heuristic,1
8610,database interface,orient,html,heuristic,1
8611,html,relate,xml,heuristic,1
8612,xml,relate,html,heuristic,1
8613,database interface,orient,web ontology language,heuristic,1
8614,database interface,orient,resource description framework (rdf),heuristic,1
8615,database interface,orient,xml,heuristic,1
8616,ontologies,write,query answering system,heuristic,2
8617,query answering system,pose,ontologies,heuristic,2
8618,ontologies,write,expressive language,heuristic,1
8619,optimization,focu,database technique,heuristic,1
8620,context confidence factor,rank,relationship,heuristic,1
8621,context aware information representation,rank,relationship,heuristic,2
8622,documentary information resource,seem,accuracy,heuristic,2
8623,information overloads,determine,semantic association,heuristic,2
8624,sparql query,rank,query result,heuristic,1
8625,user preference,relate,sup   ports user and application provider,heuristic,1
8626,sup   ports user and application provider,relate,user preference,heuristic,1
8627,esperonto semantic annotation service,associate,web contents,heuristic,1
8628,esperonto type of annotation,result,image analysi,heuristic,1
8629,web contents,determine,similarity,heuristic,4
8630,text extraction,take,web contents,heuristic,3
8631,text segmentation,go,web contents,heuristic,2
8632,usability,relate,data reliability,heuristic,1
8633,data reliability,relate,usability,heuristic,1
8634,data quality,relate,data reliability,heuristic,1
8635,data reliability,relate,data quality,heuristic,1
8636,user acceptability,relate,intrusivity,heuristic,1
8637,controlled natural language,look,full english,heuristic,1
8638,built in grammatical and lexical restriction,enforce,description logic program,heuristic,2
8639,intelligent authoring tool,guarantee,description logic program,heuristic,1
8640,built in grammatical and lexical restriction,enforce,intelligent authoring tool,heuristic,1
8641,rule,result,assertional and terminological knowledge,heuristic,1
8642,modularization,relate,annotation,heuristic,1
8643,annotation,relate,modularization,heuristic,1
8644,modularization,relate,semantic authoring,heuristic,1
8645,semantic authoring,relate,modularization,heuristic,1
8646,metadata layer,relate,ontology layer,heuristic,1
8647,ontology layer,relate,metadata layer,heuristic,1
8648,sko pattern,relate,sko metadata schema,heuristic,1
8649,sko metadata schema,relate,sko pattern,heuristic,1
8650,sko pattern,modularize,sko editor,heuristic,4
8651,sko editor,relate,sko pattern,heuristic,1
8652,three ontology based model,modularize,sko editor,heuristic,1
8653,three ontology based model,modularize,scientific publication,heuristic,1
8654,sko editor,supply,annotating sko,heuristic,1
8655,sko pattern,modularize,scientific publication,heuristic,3
8656,network,assure,smart behaviour,heuristic,1
8657,network,assure,global and a local level,heuristic,2
8658,intelligence,relate,representation,heuristic,1
8659,representation,relate,intelligence,heuristic,1
8660,representation,relate,identification,heuristic,1
8661,identification,relate,representation,heuristic,1
8662,semantic web technologies,come,business and research activity,heuristic,1
8663,internet,come,business and research activity,heuristic,1
8664,business and research activity,relate,social webs,heuristic,1
8665,social webs,relate,business and research activity,heuristic,1
8666,semantic web technologies,come,social webs,heuristic,1
8667,internet,come,social webs,heuristic,1
8668,ontologies,work,central knowledge repository,heuristic,1
8669,concept,relate,relationship,heuristic,1
8670,relationship,relate,concept,heuristic,1
8671,axiom,relate,relationship,heuristic,1
8672,relationship,relate,axiom,heuristic,1
8673,web site,start,semantic metadata,heuristic,2
8674,data warehousing,relate,web scraping,heuristic,1
8675,web scraping,relate,data warehousing,heuristic,1
8676,data warehousing,scrap,web feed,heuristic,1
8677,semantic web technologies,scrap,web feed,heuristic,1
8678,web scraping,relate,web feed,heuristic,1
8679,web feed,relate,web scraping,heuristic,1
8680,natural language processing systems,relate,machine learning technique,heuristic,1
8681,machine learning technique,relate,natural language processing systems,heuristic,1
8682,resource,share,software license,heuristic,1
8683,software license,dictate,resource,heuristic,1
8684,resource,share,storage capacity,heuristic,1
8685,storage capacity,dictate,resource,heuristic,1
8686,software license,dictate,local administration context,heuristic,1
8687,software license,relate,storage capacity,heuristic,1
8688,storage capacity,relate,software license,heuristic,1
8689,storage capacity,dictate,local administration context,heuristic,1
8690,telecommunication network,access,kb,heuristic,2
8691,entity layer,sense,semantic layer,heuristic,1
8692,entity layer,sense,gateway layer,heuristic,1
8693,automatic rankings of resource,accord,defined similarity measure,heuristic,1
8694,systematic literature review,conduct,linked data,heuristic,2
8695,systematic literature review,conduct,similarity measure,heuristic,2
8696,graph based algo   rithm,take,linked data,heuristic,1
8697,machine learning algorithm,deal,linked data,heuristic,2
8698,network structure,capture,non linear characteristics of nodes and link,heuristic,3
8699,restricted boltzmann machine model,name,lrbm,heuristic,1
8700,restricted boltzmann machine model,name,linked data,heuristic,2
8701,node,hide,mapping,heuristic,2
8702,web servers,host,linked data,heuristic,1
8703,real world log entry,host,linked data,heuristic,1
8704,knowledge linked form,accord,service-oriented architecture (soa),heuristic,2
8705,information resources integration model,accord,service-oriented architecture (soa),heuristic,2
8706,service-oriented architecture (soa),shield,heterogeneous data resource,heuristic,1
8707,tacit knowledge,share,explicit documentation,heuristic,2
8708,rdf based expertise broker,locate,universities,heuristic,3
8709,electronic marketplace archi   tecture,call,moppet,heuristic,1
8710,electronic marketplace archi   tecture,call,commerce process,heuristic,1
8711,electronic marketplace archi   tecture,call,agent based workflow,heuristic,2
8712,electronic commerce process,invoke,alreadyexisting applica   tion,heuristic,3
8713,workflow based ar   chitecture,invoke,alreadyexisting applica   tion,heuristic,4
8714,metadata of activity,express,resource description framework (rdf),heuristic,2
8715,theybecome,replace,missing dtd,heuristic,1
8716,specification,replace,missing dtd,heuristic,2
8717,specification,miss,theybecome,heuristic,1
8718,theybecome,replace,specification,heuristic,1
8719,hybrid search engine,relate,document registration module,heuristic,1
8720,query processing technique,scale,node,heuristic,1
8721,web environment interoperability,relate,reliability,heuristic,1
8722,reliability,relate,web environment interoperability,heuristic,1
8723,data handler,relate,web service,heuristic,1
8724,web service,relate,data handler,heuristic,1
8725,intelligent agents,occur,relational data storage side,heuristic,2
8726,por consiguiente,relate,cuando comunidades comparten metadato,heuristic,1
8727,cuando comunidades comparten metadato,relate,por consiguiente,heuristic,1
8728,evaluation models,relate,meta document structure,heuristic,1
8729,meta document structure,relate,evaluation models,heuristic,1
8730,kavram haritalarinin yapisina benzemektedir,relate,ontolojilerin yapisi,heuristic,1
8731,ontolojilerin yapisi,relate,kavram haritalarinin yapisina benzemektedir,heuristic,1
8732,resource description framework (rdf),relate,ontoloji,heuristic,1
8733,ontoloji,relate,resource description framework (rdf),heuristic,1
8734,ontoloji,relate,fen egitimi,heuristic,1
8735,fen egitimi,relate,ontoloji,heuristic,1
8736,world wide web,result,data explosion,heuristic,1
8737,resource description framework (rdf),result,data storage paradigm,heuristic,1
8738,resource description framework (rdf),result,rdf graph model,heuristic,1
8739,data modeling,relate,visualization tool,heuristic,1
8740,visualization tool,relate,data modeling,heuristic,1
8741,domain specific relational schema,bridge,relational tool,heuristic,2
8742,relational wrapper,aim,semi structured rdf data,heuristic,2
8743,rdf data store,aim,semi structured rdf data,heuristic,2
8744,rdf data store,aim,domain specific relational schema,heuristic,3
8745,semi structured rdf data,bridge,rdbms concept,heuristic,1
8746,domain specific relational schema,bridge,rdbms concept,heuristic,1
8747,r2d functionality,relate,mapping construct,heuristic,1
8748,mapping construct,relate,r2d functionality,heuristic,1
8749,electronic marketplace architecture,call,commerce process,heuristic,1
8750,electronic marketplace architecture,call,moppet,heuristic,1
8751,electronic marketplace architecture,call,agent based workflow,heuristic,2
8752,manipulation language,relate,knowledge query,heuristic,1
8753,knowledge query,relate,manipulation language,heuristic,1
8754,reduced market opportunity,relate,investment risk,heuristic,1
8755,investment risk,relate,reduced market opportunity,heuristic,1
8756,web technology,span,microcontrollers,heuristic,1
8757,w3c,span,iot platform,heuristic,2
8758,w3c,focus,web technology,heuristic,1
8759,web technology,span,cloud based server farm,heuristic,1
8760,web technology,span,iot platform,heuristic,1
8761,discovery,relate,interoperability,heuristic,1
8762,interoperability,relate,discovery,heuristic,1
8763,resource description framework (rdf),annotate,knowledge element,heuristic,2
8764,resource description framework (rdf),annotate,metaclass set,heuristic,4
8765,resource description framework (rdf),annotate,web contents,heuristic,4
8766,knowledge model,annotate,knowledge element,heuristic,1
8767,knowledge model,annotate,web contents,heuristic,1
8768,reconstruction,relate,rapid recuperation,heuristic,1
8769,rapid recuperation,relate,reconstruction,heuristic,1
8770,centralized database,serve,collaboration platform,heuristic,1
8771,protocol,serve,collaboration platform,heuristic,1
8772,collaborative software package,serve,collaboration platform,heuristic,1
8773,common template,serve,collaboration platform,heuristic,1
8774,formal representation,express,provenance data,heuristic,1
8775,open provenance model,capture,group collaboration operation,heuristic,1
8776,internet and intranet knowledge base,press,identification and retrieval of electronic resource,heuristic,2
8777,digitized resource,press,identification and retrieval of electronic resource,heuristic,2
8778,metadata scheme,populate,element tag,heuristic,3
8779,element tag,understand,lay searcher,heuristic,2
8780,metadata,relate,document structure,heuristic,1
8781,document structure,relate,metadata,heuristic,1
8782,xml,reach,digital libraries,heuristic,2
8783,heterogeneous dataset,miss,irregular structure,heuristic,1
8784,vocabulary,exist,rdf data cube standard,heuristic,2
8785,semantically modelling tabular data,exist,rdf data cube standard,heuristic,1
8786,complex data,occur,engineering,heuristic,1
8787,rdf data cube,occur,engineering,heuristic,2
8788,extensible markup language (xml),relate,resource description framework (rdf),heuristic,1
8789,resource description framework (rdf),relate,extensible markup language (xml),heuristic,1
8790,resource description framework (rdf),relate,scalable vector graphic,heuristic,1
8791,scalable vector graphic,relate,resource description framework (rdf),heuristic,1
8792,scalable vector graphic,relate,hyper text markup language,heuristic,1
8793,hyper text markup language,relate,scalable vector graphic,heuristic,1
8794,rdf query language,relate,sparql protocol,heuristic,1
8795,sparql protocol,relate,rdf query language,heuristic,1
8796,rdf query language,dub,slicesparql,heuristic,1
8797,sparql protocol,dub,slicesparql,heuristic,1
8798,graph based query,traverse,rdf database,heuristic,3
8799,rdfbroker,relate,sesame,heuristic,1
8800,sesame,relate,rdfbroker,heuristic,1
8801,sesame,relate,jena,heuristic,1
8802,jena,relate,sesame,heuristic,1
8803,web service,work,digital paper,heuristic,1
8804,web service,work,pen enabled interactive surface,heuristic,1
8805,method,compose,terminology,heuristic,2
8806,method,compose,custom processing,heuristic,1
8807,composing lineage metadata,pair,versioned data transformation,heuristic,2
8808,composing lineage metadata,pair,data product,heuristic,2
8809,accessory xml metadata document,pair,versioned data transformation,heuristic,1
8810,accessory xml metadata document,pair,data product,heuristic,1
8811,versioned data transformation,relate,data product,heuristic,1
8812,data product,relate,versioned data transformation,heuristic,1
8813,query,relate,navigation,heuristic,1
8814,navigation,relate,query,heuristic,1
8815,sy vse,subtitle,subtitled youtube video,heuristic,3
8816,nlp web tool,annotate,lod cloud,heuristic,3
8817,nlp web tool,associate,media fragment,heuristic,2
8818,web api,boost,um nlptr,heuristic,3
8819,pure handwriting recognition,understand,rdf knowledge base,heuristic,2
8820,pure handwriting recognition,understand,handwritten note,heuristic,1
8821,obie system,reach,pure ascii text,heuristic,3
8822,japanese lexicon,focus,jlp o,heuristic,1
8823,lexical and psycholinguistic property,associate,japanese lexicon,heuristic,1
8824,corpus based lexicon,release,balanced corpus of contemporary written japanese,heuristic,1
8825,jlp o,release,balanced corpus of contemporary written japanese,heuristic,3
8826,middleware,share,robots,heuristic,1
8827,middleware,share,sensors,heuristic,1
8828,sensors,relate,actuator,heuristic,1
8829,actuator,relate,sensors,heuristic,1
8830,middleware,share,actuator,heuristic,1
8831,uniform interface,relate,web service,heuristic,1
8832,web service,relate,uniform interface,heuristic,1
8833,xml language,relate,http protocol,heuristic,1
8834,http protocol,relate,xml language,heuristic,1
8835,middleware,detail,voice command functionality,heuristic,1
8836,middleware,detail,robot remote control,heuristic,1
8837,affordable sequencing technology,probe,worlds microbial diversity,heuristic,2
8838,resource description framework (rdf),agree,biomedical investigation,heuristic,3
8839,online link,relate,pattern matching,heuristic,1
8840,pattern matching,relate,online link,heuristic,1
8841,semantic,relate,domain vocabulary,heuristic,1
8842,domain vocabulary,relate,semantic,heuristic,1
8843,ontologies,result,relational and directed graph,heuristic,1
8844,data model,result,relational and directed graph,heuristic,1
8845,resource description framework (rdf),result,relational and directed graph,heuristic,1
8846,design framework,name,ontodrive,heuristic,1
8847,scenario,write,dialogue description language,heuristic,2
8848,scenario,write,aiml,heuristic,2
8849,web guide agent,depend,web contents,heuristic,1
8850,formal concept analysi,aim,data analysis and classification,heuristic,3
8851,reasoning algorithms,relate,knowledge representation,heuristic,1
8852,knowledge representation,relate,reasoning algorithms,heuristic,1
8853,knowledge representation,relate,knowledge discovery,heuristic,1
8854,knowledge discovery,relate,knowledge representation,heuristic,1
8855,learning,relate,knowledge discovery,heuristic,1
8856,knowledge discovery,relate,learning,heuristic,1
8857,information retrieval,relate,text processing,heuristic,1
8858,text processing,relate,information retrieval,heuristic,1
8859,ai,relate,fca,heuristic,1
8860,fca,relate,ai,heuristic,1
8861,semantic,relate,descriptive logic based reasoner,heuristic,1
8862,descriptive logic based reasoner,relate,semantic,heuristic,1
8863,ontologies,check,descriptive logic based reasoner,heuristic,3
8864,descriptive logic based reasoner,check,ontologies,heuristic,2
8865,cognitive psychology,accord,unitary phenomenon,heuristic,2
8866,cognitive psychology,accord,concept representation,heuristic,1
8867,hybrid prototype exemplar based approach,prove,knowledge representation technology,heuristic,1
8868,online social message,regard,ontology learning,heuristic,1
8869,early warning algorithm,relate,social data analysi,heuristic,1
8870,social data analysi,relate,early warning algorithm,heuristic,1
8871,early warning algorithm,emerge,collected tweet,heuristic,2
8872,social data analysi,emerge,collected tweet,heuristic,2
8873,resource event agent ( rea ) ontology,drive,business reality,heuristic,4
8874,ontology engineering principle,reengineer,ontology driven business modelling,heuristic,6
8875,concept,relate,concept relation,heuristic,2
8876,concept relation,relate,concept,heuristic,2
8877,e-business models,instantiate,concept relation,heuristic,2
8878,e-business models,instantiate,generic model,heuristic,2
8879,ontological knowledge,suffer,ontology management system,heuristic,2
8880,ontological knowledge base server,expose,arbitrary remoting protocol,heuristic,1
8881,ontological knowledge base server,expose,ontology management system,heuristic,1
8882,gene ontology,prune,sub ontology,heuristic,2
8883,ontologies,prune,sub ontology,heuristic,2
8884,disponte,assign,assertional and terminological axiom,heuristic,2
8885,disponte,assign,probability,heuristic,2
8886,probabilistic logic programming,assign,assertional and terminological axiom,heuristic,1
8887,distribution semantic,assign,assertional and terminological axiom,heuristic,1
8888,probabilistic logic programming,assign,probability,heuristic,1
8889,distribution semantic,assign,probability,heuristic,1
8890,disponte kb,explotit,edge,heuristic,1
8891,ontology development,emerge,concept map,heuristic,3
8892,ontology design,emerge,concept map,heuristic,1
8893,concept mapping,ease,ontology development,heuristic,2
8894,automatic term extraction proces,ease,ontology development,heuristic,1
8895,ontology development,meet,ontology design,heuristic,2
8896,concept mapping technique,couple,term extraction engine,heuristic,1
8897,ontology construction,focus,supportive thinking,heuristic,3
8898,problem factor,dominate,basin regime,heuristic,1
8899,process factor,dominate,basin regime,heuristic,1
8900,ontology integration,carry,water resources domain,heuristic,2
8901,groupware,carry,water resources domain,heuristic,2
8902,knowledge management,relate,information systems,heuristic,1
8903,information systems,relate,knowledge management,heuristic,1
8904,knowledge intensive proces,benefit,ontology construction,heuristic,1
8905,knowledge intensive proces,benefit,ontology development,heuristic,1
8906,ontology construction,relate,ontology development,heuristic,1
8907,ontology development,relate,ontology construction,heuristic,1
8908,ontologies,attempt,software engineering aspect,heuristic,2
8909,requirements engineering,relate,components reuse,heuristic,1
8910,components reuse,relate,requirements engineering,heuristic,1
8911,ontologies,attempt,requirements engineering,heuristic,2
8912,components reuse,relate,domain modelling,heuristic,1
8913,domain modelling,relate,components reuse,heuristic,1
8914,ontologies,attempt,components reuse,heuristic,2
8915,systematic literature review,focus,software project management ontology,heuristic,1
8916,prototype ontology system,addres,software project management process,heuristic,1
8917,systematic domain modelling,addres,software project management process,heuristic,1
8918,ontologies,addres,software project management process,heuristic,1
8919,iterative knowledge abstraction,ground,grounded theory,heuristic,1
8920,iterative knowledge abstraction,ground,model based incremental knowledge engineering approach,heuristic,2
8921,iterative knowledge abstraction,ground,ontology construction,heuristic,1
8922,visualization,relate,navigation,heuristic,1
8923,navigation,relate,visualization,heuristic,1
8924,navigation,relate,information research,heuristic,1
8925,information research,relate,navigation,heuristic,1
8926,information research,relate,classification,heuristic,1
8927,classification,relate,information research,heuristic,1
8928,information research,relate,ontology construction,heuristic,1
8929,ontology construction,relate,information research,heuristic,1
8930,ontology construction,relate,text extraction approach,heuristic,1
8931,text extraction approach,relate,ontology construction,heuristic,1
8932,ubiquitous computing,mean,geo referenced information,heuristic,1
8933,requirements engineering,relate,xml schemes and data warehouse,heuristic,1
8934,xml schemes and data warehouse,relate,requirements engineering,heuristic,1
8935,requirements engineering,relate,web form,heuristic,1
8936,web form,relate,requirements engineering,heuristic,1
8937,data modeling,relate,ontology construction,heuristic,1
8938,ontology construction,relate,data modeling,heuristic,1
8939,xml schemes and data warehouse,relate,modeling business rule,heuristic,1
8940,modeling business rule,relate,xml schemes and data warehouse,heuristic,1
8941,modeling business rule,relate,ontology construction,heuristic,1
8942,ontology construction,relate,modeling business rule,heuristic,1
8943,alloy,verify,alloy analyzer,heuristic,2
8944,meta model,check,alloy representation,heuristic,2
8945,unsatisfiability pattern,check,alloy representation,heuristic,1
8946,ontologies,play,formalization of business information,heuristic,1
8947,ontologies,play,product,heuristic,1
8948,method,ne,large scale ontology construction,heuristic,2
8949,method,ne,real world business application,heuristic,2
8950,accuracy,exist,method,heuristic,1
8951,accuracy,ne,real world business application,heuristic,3
8952,database systems,relate,index,heuristic,1
8953,index,relate,database systems,heuristic,1
8954,linked data,identifiersinclud,issnwill,heuristic,1
8955,libraries,identifiersinclud,issnwill,heuristic,1
8956,software design team,interview,competence profile,heuristic,2
8957,biblioteca,relate,archivos y museo,heuristic,1
8958,archivos y museo,relate,biblioteca,heuristic,1
8959,ontology construction,undergo,collective knowledge maturing proces,heuristic,3
8960,social media based competence management,center,multi professional environment,heuristic,1
8961,career guidance,center,multi professional environment,heuristic,1
8962,information systems,share,ontologies,heuristic,3
8963,information systems,relate,knowledge sharing system,heuristic,1
8964,knowledge sharing system,relate,information systems,heuristic,1
8965,merging,relate,evolution versioning,heuristic,1
8966,evolution versioning,relate,merging,heuristic,1
8967,merging,relate,integration,heuristic,1
8968,integration,relate,merging,heuristic,1
8969,evolution versioning,relate,ontology construction,heuristic,1
8970,ontology construction,relate,evolution versioning,heuristic,1
8971,term reuse,overlap,biomedical ontology,heuristic,1
8972,interestingness measure,compare,rule,heuristic,1
8973,precision,relate,relation learning recall,heuristic,1
8974,relation learning recall,relate,precision,heuristic,1
8975,precision,take,hierarchical relationship,heuristic,1
8976,relation learning recall,take,hierarchical relationship,heuristic,1
8977,software development proces,deal,software requirement,heuristic,1
8978,cyber physics system,assume,cyber ( it ) system,heuristic,2
8979,communication,relate,computation and control infrastructure,heuristic,1
8980,computation and control infrastructure,relate,communication,heuristic,1
8981,schema attribute,relate,ontology concept,heuristic,1
8982,ontology concept,relate,schema attribute,heuristic,1
8983,answer set programming,relate,declarative formalism,heuristic,1
8984,declarative formalism,relate,answer set programming,heuristic,1
8985,existing approach,locate,services discovery,heuristic,2
8986,ontology alignment,locate,services discovery,heuristic,2
8987,answering queries,relate,data integration,heuristic,1
8988,data integration,relate,answering queries,heuristic,1
8989,internet application,relate,web based system,heuristic,1
8990,web based system,relate,internet application,heuristic,1
8991,ajax technique,relate,semantic web technologies,heuristic,1
8992,semantic web technologies,relate,ajax technique,heuristic,1
8993,existing kos product,ne,linked data service,heuristic,3
8994,linked data ko,br,information service,heuristic,2
8995,web,compare,text expression,heuristic,2
8996,google search engine,compare,text expression,heuristic,1
8997,web search engine,validate,semantic correspondence,heuristic,2
8998,speech facial expression,judge,emotion,heuristic,1
8999,cue,judge,emotion,heuristic,1
9000,detecting emotion,depend,keywords semantic similarity,heuristic,1
9001,hybrid model,depend,keywords semantic similarity,heuristic,2
9002,detecting emotion,depend,ontologies,heuristic,1
9003,hybrid model,depend,ontologies,heuristic,2
9004,syntax,relate,semantic analysis of the context,heuristic,1
9005,semantic analysis of the context,relate,syntax,heuristic,1
9006,news article,search,linked data,heuristic,1
9007,background process,consume,linked data,heuristic,1
9008,domain specific scripting language,consume,linked data,heuristic,2
9009,dataset,depend,linked data,heuristic,2
9010,linked data,focus,mobility service application,heuristic,2
9011,mobility service application,drive,linked data,heuristic,5
9012,japanese,focus,mobility service application,heuristic,2
9013,variables selection,relate,clustering algorithms,heuristic,1
9014,clustering algorithms,relate,variables selection,heuristic,1
9015,candidate change,relate,ontological artifact,heuristic,1
9016,ontological artifact,relate,candidate change,heuristic,1
